Former Union minister Ram Vilas Paswan and former Bihar chief minister Jagannath Mishra today appealed to President A.P.J.,['']
"Abdul Kalam to stop Gujarat chief minister Narendra Modi from undertaking his proposed Gaurav Yatra from September 3, reports our special correspondent.",['']
The Lok Janshakti chief and the Nationalist Congress Party leader condemned the proposal to take out the yatra as a sinister political act.,['']
Congress president Sonia Gandhi had yesterday urged Prime Minister Atal Bihari Vajpayee to dissuade Modi from taking out the yatra.,['']
"Paswan drew a parallel between President George W. Bush and Narendra Modi, comparing Modis handling of the Gujarat riots to Bushs handling of the crisis after the terrorist attack on the WTC on September 11.","['Rebellion', 'Terrorism']"
Bush went on TV within an hour and said it was the work of Osama bin Laden and that he wanted him dead or alive.,"['', 'injured_or_dead_people']"
"But Bush never blamed Muslims as a community and the BJP government was doing everything possibly to paint the entire community as terrorists, Paswan told Kalam.","['', 'Terrorism']"
"While Bush went on television almost every day to restore the confidence of Americans, Modi was propagating khoon ka badla khoon se (blood for blood).",['']
"As a nation, it would be most shameful of us if we were to let such an act of glorification of deaths and destruction take place, Paswan and Mishra told the President, slamming the intention behind the Gaurav Yatra.","['', 'injured_or_dead_people']"
"Kalam, they said, expressed concern.",['']
Paswan apprised the President on how the BJP-led government had tried to exaggerate the Godhra killings by not publicising the exact death toll in the Sabarmati Express.,"['', 'injured_or_dead_people']"
"According to the reservation charts released by the railways, only four of the 56 passengers who had booked berths in S-6 bogie had died, nine were injured and seven missing, he said.","['', 'injured_or_dead_people']"
The state government had claimed that 58 people had died in coach S-6.,['injured_or_dead_people']
"Hinting that the entire incident was pre-planned, Paswan wondered how subsequent forensic reports had indicated that the inflammable material could have been poured from inside the bogie.",['']
"The leaders said it was shocking to learn that while the Prime Minister himself had termed the violence as a national shame, his party was trying to glorify the riots.","['', 'Rebellion']"
They urged Kalam to stop this sinister act of politics as the custodian of the Constitution.,['']
"It was your oath to protect and preserve our Constitution, which is under threat by such an act, Paswan said.",['']
The former Union minister reminding the President that he himself had visited Gujarat and commented upon the inadequate relief and rehabilitation work.,"['', 'donation_needs_or_offers_or_volunteering_services']"
"In a separate memorandum to the President, Paswan urged that Bihar be declared a famine state as 140 lakh people in 24 districts faced extreme hardship due to floods while 13 districts were hit by drought.","['Drought', 'Flood']"
"More than 300 people had died in the floods, he said, and appealed to Kalam to visit the state.","['Flood', 'injured_or_dead_people']"
"27 killed in US tornado rampage

Kansas City (Montana), May 5 (Reuters): Tornadoes raked parts of the central US, killing at least 27 people in a rampage that blew a freight train off the tracks and flattened block after block of buildings, officials said today.",['injured_or_dead_people']
"Missouri reported nine deaths and neighboring Kansas seven, while 10 died in Tennessee.","['', 'injured_or_dead_people']"
"Daylight brought frantic rescue efforts in some areas where officials feared debris hid more victims, living and dead.","['displaced_people_and_evacuations', 'injured_or_dead_people', 'missing_trapped_or_found_people']"
"Its devastating, said Michael Spencer, a Red Cross worker in Pierce City, Missouri.",['']
"Commercial buildings around the town square were hard hit and there are homes behind them that are just flattened, he said.",['']
Rescue workers climbed around the ruins of a National Guard armoury in Pierce City where some residents had fled seeking shelter as the storms approached.,"['displaced_people_and_evacuations', 'missing_trapped_or_found_people']"
The roof of the building had collapsed.,"['', 'infrastructure_and_utilities_damage']"
Police in Pierce City said there was one confirmed fatality there but it was feared some may be trapped in the armoury wreckage.,['']
"In Lawrence County, where the town is located, there were between six and 12 deaths, the sheriffs office

It looked like a big wall.","['', 'injured_or_dead_people']"
"There was nothing but trash being sucked up in a massive black cloud, Kansas City area resident Ed Miller told the Kansas City Star.",['']
His home escaped with minor damage but his bedroom was filled with broken glass.,"['', 'infrastructure_and_utilities_damage']"
"The storms dealt the worst damage to southern Missouri and southern Kansas, as well as western Tennessee where downtown Jackson resembled a war zone.","['', 'Rebellion', 'infrastructure_and_utilities_damage']"
"Big B balm on drought
 CHANDRIMA S. BHATTACHARYA				 	 Bachchan: Healing touchMumbai, May 7: Western Maharashtra, reeling under severe drought, has got a healing touch.","['', 'Drought']"
Amitabh Bachchan has decided to bring relief to two drought-affected villages there by adopting them.,"['Drought', 'donation_needs_or_offers_or_volunteering_services']"
The superstar will provide mid-day meals to about 500 villagers of Kumthe and Upalavi for a month.,"['', 'donation_needs_or_offers_or_volunteering_services']"
These villages belong to the Tazgaon taluka of Sangli district.,['']
"Along with Solapur and Kohlapur, Sangli is one of the severely drought-affected districts of western Maharashtra.","['', 'Drought']"
"Bachchans programme, which will be co-ordinated by the NGO Yuva Biradari, will start on May 11 and continue for a month.",['']
It is not clear to what extent the actor will be involved personally  it has not yet been decided whether he will visit the villages.,['']
"We will only know the extent of Mr Bachchans involvement in a months time, said Rekha Shah, a trustee.",['']
"The scheme is another instance of charity beginning at home, as the actors wife Jaya heads Yuva Biradari.",['']
Cricketer Ajit Wadekar and editor Kumar Ketkar are also on the board.,['']
"Though Bachchans charity may not burn a hole in his pocket  the scheme may not cost him more than Rs 2 lakh  his gesture will be invaluable, feels the NGO.",['']
"We havent heard of any deaths, but these villages are starving.","['', 'injured_or_dead_people']"
"Mr Bachchans association with this cause will help us to bring it into focus, and hopefully encourage other people and generate more funds, said Shah.",['']
The situation in Sangli is very severe.,['']
"We chose these villages because they are close to the Sangli district town and more convenient in terms of communication and transport, she added.",['']
"Kumthe, like many other villages in the district, was famous for its grapes till now.",['']
"But because of the drought that has affected the region for more than two years, grapes and other agricultural produce like sugarcane have suffered acutely.","['Drought', 'injured_or_dead_people']"
"More than 30 sugar mills have closed down, leaving 5,000 workers jobless.",['']
Bachchans name may go some way in bringing the succour it badly needs.,['']
